,winery,variety,country,province,price,points
0,Volpaia,Red Blend,Italy,Tuscany,26.0,90
1,Isabelle et Pierre,Pinot Noir,France,Loire Valley,25.0,88
2,Domdechant Werner,Riesling,Germany,Rheingau,34.0,90
3,Shiloh Winery,Cabernet Sauvignon,Israel,Judean Hills,45.0,91
4,Muscardini,Sangiovese,US,California,36.0,84
5,Snoqualmie,Cabernet Sauvignon,US,Washington,13.0,85
6,A. Margaine,Champagne Blend,France,Champagne,62.0,88
7,Botter,Primitivo,Italy,Southern Italy,10.0,86
8,Hawthorne,Auxerrois,US,Michigan,20.0,86
9,Monogram,Sparkling Blend,Italy,Lombardy,33.0,86
10,Domaine Rotier,Red Blend,France,Southwest France,15.0,86
11,Sterling,Chardonnay,US,California,50.0,86
12,Sanglier Cellars,Sauvignon Blanc,US,California,24.0,90
13,Byington,Cabernet Franc,US,California,36.0,91
14,Château Carpe Diem,Provence red blend,France,Provence,29.0,86
15,Cloudlift Cellars,G-S-M,US,Washington,34.0,89
16,Emblem,Cabernet Sauvignon,US,California,50.0,87
17,Longwood,Shiraz,Australia,South Australia,40.0,91
18,Mureda,Merlot,Spain,Central Spain,10.0,83
19,Terrazas de Los,Cabernet Sauvignon,Argentina,Mendoza Province,19.0,88
20,Alfredo Roca,Malbec,Argentina,Mendoza Province,15.0,88
21,Bodegas Luzón,Monastrell,Spain,Levante,9.0,82
22,Riposte,Sauvignon Blanc,Australia,South Australia,21.0,87
23,Mastroberardino,Piedirosso,Italy,Southern Italy,20.0,88
24,Peltier,Teroldego,US,California,30.0,88
25,Nasiakos,Moschofilero,Greece,Mantinia,16.0,89
26,Bruliam,Pinot Noir,US,California,46.0,90
27,Jelly Jar,Zinfandel,US,California,22.0,87
28,Corte Rugolin,"Corvina, Rondinella, Molinara",Italy,Veneto,70.0,92
29,Vignerons de Caractère,G-S-M,France,Rhône Valley,41.0,92
30,Vinaria din Vale,Feteasca Neagra,Moldova,Moldova,12.0,88
31,Delaforce,Alvarinho,Portugal,Duriense,18.0,86
32,La Mejorada,Tempranillo,Spain,Northern Spain,16.0,82
33,Pavillion Crossing,Cabernet Sauvignon,US,California,14.0,83
34,Chalk Hill,Red Blend,US,California,85.0,86
35,Fielding Hills,Cabernet Sauvignon,US,Washington,46.0,91
36,Santa Ema,Sauvignon Blanc,Chile,Maipo Valley,10.0,80
